00-01-01 00:00:02 --- one package
00-01-01 00:00:05 ---  -520  -109  8289
00-01-01 00:00:05 ---  -526  -101  8286
00-01-01 00:00:05 ---  -524  -102  8277
00-01-01 00:00:05 ---  -531  -111  8279
00-01-01 00:00:05 ---  -525  -117  8278
00-01-01 00:00:05 ---  -530  -125  8280
00-01-01 00:00:05 ---  -527  -123  8283
00-01-01 00:00:05 ---  -528  -129  8284
00-01-01 00:00:05 ---  -535  -127  8285
00-01-01 00:00:05 ---  -538  -129  8292
00-01-01 00:00:05 ---  -533  -124  8293
00-01-01 00:00:05 ---  -532  -125  8288
00-01-01 00:00:05 ---  -530  -122  8287
00-01-01 00:00:05 ---  -533  -125  8279
00-01-01 00:00:05 ---  -542  -122  8273
00-01-01 00:00:05 ---  -547  -122  8261
00-01-01 00:00:05 ---  -539  -120  8254
00-01-01 00:00:05 ---  -537  -128  8252
00-01-01 00:00:05 ---  -527  -133  8257
00-01-01 00:00:05 ---  -528  -140  8271
00-01-01 00:00:05 ---  -534  -141  8278
00-01-01 00:00:05 ---  -537  -134  8282
00-01-01 00:00:05 ---  -538  -131  8276
00-01-01 00:00:05 ---  -530  -122  8268
00-01-01 00:00:05 ---  -529  -122  8269
00-01-01 00:00:05 ---  -528  -126  8272
00-01-01 00:00:05 ---  -533  -138  8283
00-01-01 00:00:05 ---  -537  -146  8283
00-01-01 00:00:05 ---  -533  -153  8279
00-01-01 00:00:05 ---  -530  -148  8262
00-01-01 00:00:05 ---  -529  -142  8256
00-01-01 00:00:05 ---  -527  -140  8253
00-01-01 00:00:05 ---  -535  -138  8257
00-01-01 00:00:05 ---  -533  -143  8257
00-01-01 00:00:05 ---  -543  -146  8256
00-01-01 00:00:05 ---  -547  -148  8251
00-01-01 00:00:05 ---  -556  -153  8252
00-01-01 00:00:05 ---  -553  -160  8255
00-01-01 00:00:05 ---  -546  -165  8259
00-01-01 00:00:05 ---  -544  -168  8265
00-01-01 00:00:05 ---  -539  -169  8263
00-01-01 00:00:05 ---  -543  -164  8270
00-01-01 00:00:05 ---  -542  -165  8277
00-01-01 00:00:05 ---  -540  -163  8283
00-01-01 00:00:05 ---  -531  -171  8293
00-01-01 00:00:05 ---  -532  -169  8292
00-01-01 00:00:05 ---  -528  -171  8294
00-01-01 00:00:05 ---  -529  -167  8285
00-01-01 00:00:05 ---  -535  -163  8276
00-01-01 00:00:05 ---  -535  -160  8260
00-01-01 00:00:05 ---  -539  -155  8254
00-01-01 00:00:05 ---  -533  -151  8252
00-01-01 00:00:05 ---  -527  -138  8261
00-01-01 00:00:05 ---  -520  -132  8271
00-01-01 00:00:05 ---  -516  -130  8278
00-01-01 00:00:05 ---  -512  -130  8269
00-01-01 00:00:05 ---  -510  -134  8258
00-01-01 00:00:05 ---  -508  -129  8248
00-01-01 00:00:05 ---  -509  -132  8238
00-01-01 00:00:05 ---  -511  -128  8239
00-01-01 00:00:05 ---  -524  -130  8246
00-01-01 00:00:05 ---  -526  -131  8260
00-01-01 00:00:05 ---  -538  -123  8274
00-01-01 00:00:05 ---  -540  -122  8295
00-01-01 00:00:05 ---  -545  -116  8307
00-01-01 00:00:05 ---  -545  -114  8308
00-01-01 00:00:05 ---  -545  -114  8302
00-01-01 00:00:05 ---  -538  -108  8295
00-01-01 00:00:05 ---  -532  -108  8288
00-01-01 00:00:05 ---  -528  -109  8289
00-01-01 00:00:05 ---  -526  -113  8297
00-01-01 00:00:05 ---  -533  -114  8299
00-01-01 00:00:05 ---  -538  -118  8306
00-01-01 00:00:05 ---  -543  -113  8306
00-01-01 00:00:05 ---  -552  -114  8312
00-01-01 00:00:05 ---  -555  -116  8312
00-01-01 00:00:05 ---  -556  -119  8307
00-01-01 00:00:05 ---  -551  -125  8299
00-01-01 00:00:05 ---  -539  -121  8287
00-01-01 00:00:05 ---  -531  -123  8277
00-01-01 00:00:05 ---  -529  -117  8274
00-01-01 00:00:05 ---  -536  -122  8275
00-01-01 00:00:05 ---  -550  -127  8278
00-01-01 00:00:05 ---  -564  -133  8284
00-01-01 00:00:05 ---  -575  -137  8286
00-01-01 00:00:05 ---  -574  -139  8289
00-01-01 00:00:05 ---  -567  -140  8285
00-01-01 00:00:05 ---  -552  -137  8274
00-01-01 00:00:05 ---  -539  -135  8267
00-01-01 00:00:05 ---  -530  -132  8255
00-01-01 00:00:05 ---  -520  -130  8263
00-01-01 00:00:05 ---  -512  -124  8268
00-01-01 00:00:05 ---  -511  -124  8278
00-01-01 00:00:05 ---  -515  -120  8285
00-01-01 00:00:05 ---  -521  -127  8283
00-01-01 00:00:05 ---  -518  -132  8284
00-01-01 00:00:05 ---  -521  -138  8285
00-01-01 00:00:05 ---  -514  -142  8282
00-01-01 00:00:05 ---  -514  -143  8287
00-01-01 00:00:05 ---  -516  -142  8290
00-01-01 00:00:05 ---  -528  -146  8293
00-01-01 00:00:05 ---  -540  -148  8300
00-01-01 00:00:05 ---  -545  -149  8299
00-01-01 00:00:05 ---  -546  -150  8294
00-01-01 00:00:05 ---  -536  -146  8284
00-01-01 00:00:05 ---  -526  -141  8268
00-01-01 00:00:05 ---  -525  -138  8252
00-01-01 00:00:05 ---  -525  -132  8243
00-01-01 00:00:05 ---  -539  -131  8235
00-01-01 00:00:05 ---  -541  -131  8232
00-01-01 00:00:05 ---  -541  -132  8238
00-01-01 00:00:05 ---  -534  -135  8243
00-01-01 00:00:05 ---  -522  -146  8256
00-01-01 00:00:05 ---  -519  -152  8274
00-01-01 00:00:05 ---  -518  -164  8290
00-01-01 00:00:05 ---  -518  -162  8303
00-01-01 00:00:05 ---  -525  -157  8307
00-01-01 00:00:05 ---  -528  -152  8295
00-01-01 00:00:05 ---  -535  -145  8283
00-01-01 00:00:05 ---  -539  -147  8265
00-01-01 00:00:05 ---  -535  -145  8259
00-01-01 00:00:05 ---  -530  -146  8257
00-01-01 00:00:05 ---  -529  -143  8263
00-01-01 00:00:05 ---  -525  -144  8274
00-01-01 00:00:05 ---  -531  -146  8282
00-01-01 00:00:05 ---  -528  -147  8291
00-01-01 00:00:05 ---  -528  -153  8300
00-01-01 00:00:06 ---  -522  -156  8300
00-01-01 00:00:06 ---  -519  -162  8298
00-01-01 00:00:06 ---  -519  -161  8288
00-01-01 00:00:06 ---  -525  -162  8284
00-01-01 00:00:06 ---  -531  -160  8270
00-01-01 00:00:06 ---  -536  -157  8275
00-01-01 00:00:06 ---  -536  -155  8268
00-01-01 00:00:06 ---  -529  -148  8265
00-01-01 00:00:06 ---  -529  -141  8262
00-01-01 00:00:06 ---  -522  -134  8265
00-01-01 00:00:06 ---  -532  -126  8269
00-01-01 00:00:06 ---  -530  -125  8275
00-01-01 00:00:06 ---  -536  -125  8271
00-01-01 00:00:06 ---  -538  -126  8261
00-01-01 00:00:06 ---  -538  -125  8246
00-01-01 00:00:06 ---  -540  -121  8248
00-01-01 00:00:06 ---  -538  -111  8256
00-01-01 00:00:06 ---  -530  -108  8272
00-01-01 00:00:06 ---  -524  -103  8289
00-01-01 00:00:06 ---  -527  -106  8298
00-01-01 00:00:06 ---  -525  -107  8302
00-01-01 00:00:06 ---  -537  -111  8299
00-01-01 00:00:06 ---  -541  -115  8295
00-01-01 00:00:06 ---  -541  -123  8291
00-01-01 00:00:06 ---  -544  -135  8288
00-01-01 00:00:06 ---  -544  -140  8292
00-01-01 00:00:06 ---  -542  -144  8292
00-01-01 00:00:06 ---  -532  -140  8300
00-01-01 00:00:06 ---  -513  -134  8300
00-01-01 00:00:06 ---  -494  -133  8303
00-01-01 00:00:06 ---  -488  -133  8303
00-01-01 00:00:06 ---  -492  -139  8302
00-01-01 00:00:06 ---  -516  -141  8303
00-01-01 00:00:06 ---  -538  -147  8296
00-01-01 00:00:06 ---  -551  -151  8292
00-01-01 00:00:06 ---  -554  -154  8288
00-01-01 00:00:06 ---  -552  -156  8279
00-01-01 00:00:06 ---  -549  -148  8279
00-01-01 00:00:06 ---  -550  -138  8273
00-01-01 00:00:06 ---  -552  -128  8272
00-01-01 00:00:06 ---  -552  -125  8268
00-01-01 00:00:06 ---  -547  -131  8265
00-01-01 00:00:06 ---  -536  -139  8266
00-01-01 00:00:06 ---  -529  -149  8258
00-01-01 00:00:06 ---  -520  -153  8258
00-01-01 00:00:06 ---  -511  -157  8249
00-01-01 00:00:06 ---  -509  -158  8247
00-01-01 00:00:06 ---  -504  -159  8244
00-01-01 00:00:06 ---  -504  -162  8259
00-01-01 00:00:06 ---  -505  -165  8267
00-01-01 00:00:06 ---  -505  -160  8281
00-01-01 00:00:06 ---  -508  -155  8291
00-01-01 00:00:06 ---  -505  -142  8295
00-01-01 00:00:06 ---  -509  -134  8306
00-01-01 00:00:06 ---  -515  -128  8310
00-01-01 00:00:07 --- one package
00-01-01 00:00:07 ---  -529  -130  8289
00-01-01 00:00:07 ---  -529  -127  8288
00-01-01 00:00:07 ---  -516  -128  8275
00-01-01 00:00:07 ---  -512  -121  8278
00-01-01 00:00:07 ---  -513  -122  8275
00-01-01 00:00:07 ---  -521  -121  8278
00-01-01 00:00:07 ---  -527  -121  8288
00-01-01 00:00:07 ---  -531  -126  8292
00-01-01 00:00:07 ---  -526  -128  8291
00-01-01 00:00:07 ---  -524  -133  8289
00-01-01 00:00:07 ---  -521  -135  8278
00-01-01 00:00:07 ---  -522  -135  8277
00-01-01 00:00:07 ---  -519  -134  8272
00-01-01 00:00:07 ---  -520  -134  8271
00-01-01 00:00:07 ---  -520  -132  8263
00-01-01 00:00:07 ---  -516  -137  8268
00-01-01 00:00:07 ---  -518  -133  8264
00-01-01 00:00:07 ---  -522  -135  8271
00-01-01 00:00:07 ---  -514  -132  8275
00-01-01 00:00:07 ---  -521  -127  8274
00-01-01 00:00:07 ---  -519  -125  8281
00-01-01 00:00:07 ---  -518  -123  8285
00-01-01 00:00:07 ---  -525  -126  8295
00-01-01 00:00:07 ---  -523  -136  8292
00-01-01 00:00:07 ---  -525  -145  8297
00-01-01 00:00:07 ---  -518  -150  8291
00-01-01 00:00:07 ---  -522  -153  8291
00-01-01 00:00:07 ---  -520  -145  8286
00-01-01 00:00:07 ---  -526  -143  8283
00-01-01 00:00:07 ---  -529  -141  8272
00-01-01 00:00:07 ---  -533  -140  8268
00-01-01 00:00:07 ---  -526  -139  8259
00-01-01 00:00:07 ---  -527  -139  8260
00-01-01 00:00:07 ---  -524  -132  8258
00-01-01 00:00:07 ---  -526  -128  8261
00-01-01 00:00:07 ---  -526  -131  8265
00-01-01 00:00:07 ---  -529  -133  8268
00-01-01 00:00:07 ---  -529  -143  8269
00-01-01 00:00:07 ---  -529  -153  8273
00-01-01 00:00:07 ---  -523  -158  8271
00-01-01 00:00:07 ---  -516  -157  8280
00-01-01 00:00:07 ---  -511  -152  8281
00-01-01 00:00:07 ---  -506  -143  8284
00-01-01 00:00:07 ---  -506  -133  8279
00-01-01 00:00:07 ---  -508  -128  8272
00-01-01 00:00:07 ---  -512  -128  8267
00-01-01 00:00:07 ---  -510  -127  8273
00-01-01 00:00:07 ---  -509  -132  8271
00-01-01 00:00:07 ---  -511  -133  8284
00-01-01 00:00:07 ---  -512  -138  8285
00-01-01 00:00:07 ---  -522  -142  8290
00-01-01 00:00:07 ---  -531  -142  8293
00-01-01 00:00:07 ---  -535  -147  8287
00-01-01 00:00:07 ---  -539  -141  8282
00-01-01 00:00:07 ---  -534  -141  8271
00-01-01 00:00:07 ---  -530  -142  8274
00-01-01 00:00:07 ---  -519  -139  8277
00-01-01 00:00:07 ---  -510  -136  8285
00-01-01 00:00:07 ---  -503  -139  8292
00-01-01 00:00:07 ---  -501  -136  8295
00-01-01 00:00:07 ---  -510  -141  8291
00-01-01 00:00:07 ---  -512  -139  8287
00-01-01 00:00:07 ---  -521  -134  8279
00-01-01 00:00:07 ---  -524  -127  8270
00-01-01 00:00:07 ---  -526  -124  8265
00-01-01 00:00:07 ---  -524  -123  8256
