00-01-01 00:00:02 --- one package
00-01-01 00:00:07 ---  -687  -453  7980
00-01-01 00:00:07 ---  -417   191  7899
00-01-01 00:00:07 ---  -157   450  7863
00-01-01 00:00:07 ---    63   234  7858
00-01-01 00:00:07 ---   124  -342  7820
00-01-01 00:00:07 ---   -27  -906  7842
00-01-01 00:00:07 ---  -336 -1157  7903
00-01-01 00:00:07 ---  -745  -949  8013
00-01-01 00:00:07 ---  -948  -383  8225
00-01-01 00:00:07 --- -1003   164  8495
00-01-01 00:00:07 ---  -948   526  8811
00-01-01 00:00:07 ---  -792   477  9037
00-01-01 00:00:07 ---  -780    74  9069
00-01-01 00:00:07 ---  -826  -381  8862
00-01-01 00:00:07 ---  -864  -662  8514
00-01-01 00:00:07 ---  -869  -689  8180
00-01-01 00:00:07 ---  -637  -495  7961
00-01-01 00:00:07 ---  -272  -315  7811
00-01-01 00:00:07 ---    83  -317  7669
00-01-01 00:00:07 ---   267  -457  7563
