00-01-01 00:00:02 --- one package
00-01-01 00:00:05 ---   393   660  8948
00-01-01 00:00:05 ---   652   794  9044
00-01-01 00:00:05 ---   901   917  9183
00-01-01 00:00:05 ---  1080  1032  9243
00-01-01 00:00:05 ---  1159  1123  9298
00-01-01 00:00:05 ---  1136  1189  9241
00-01-01 00:00:05 ---  1128  1262  9160
00-01-01 00:00:05 ---  1132  1367  9092
00-01-01 00:00:05 ---  1217  1511  9084
00-01-01 00:00:05 ---  1344  1672  9089
00-01-01 00:00:05 ---  1466  1805  9041
00-01-01 00:00:05 ---  1524  1875  8930
00-01-01 00:00:05 ---  1522  1871  8759
00-01-01 00:00:05 ---  1461  1796  8610
00-01-01 00:00:05 ---  1332  1667  8530
00-01-01 00:00:05 ---  1171  1478  8506
00-01-01 00:00:05 ---   988  1254  8466
00-01-01 00:00:05 ---   777  1003  8382
00-01-01 00:00:05 ---   563   745  8275
00-01-01 00:00:05 ---   337   504  8216
00-01-01 00:00:05 ---   116   286  8184
00-01-01 00:00:05 ---   -72    88  8184
00-01-01 00:00:05 ---  -242   -84  8158
00-01-01 00:00:05 ---  -364  -242  8093
00-01-01 00:00:05 ---  -487  -373  8034
00-01-01 00:00:05 ---  -598  -486  7964
00-01-01 00:00:05 ---  -681  -582  7934
00-01-01 00:00:05 ---  -776  -655  7909
00-01-01 00:00:05 ---  -835  -708  7872
00-01-01 00:00:05 ---  -885  -736  7829
00-01-01 00:00:05 ---  -929  -738  7811
00-01-01 00:00:05 ---  -967  -691  7783
00-01-01 00:00:05 ---  -990  -653  7792
00-01-01 00:00:05 --- -1026  -605  7815
00-01-01 00:00:05 --- -1042  -586  7810
00-01-01 00:00:05 --- -1059  -571  8134
00-01-01 00:00:05 --- -1167  -595  8403
00-01-01 00:00:05 --- -1123  -619  8587
00-01-01 00:00:05 ---  -911  -527  8616
00-01-01 00:00:05 ---  -582  -446  8197
00-01-01 00:00:05 ---  -158  -256  7791
00-01-01 00:00:05 ---   140  -111  7484
00-01-01 00:00:05 ---   234   -34  7689
00-01-01 00:00:05 ---   270    25  8088
00-01-01 00:00:05 ---   216    45  8591
00-01-01 00:00:05 ---   226    46  8873
00-01-01 00:00:05 ---   324    75  8963
00-01-01 00:00:05 ---   412    37  8880
00-01-01 00:00:05 ---   538    18  8873
00-01-01 00:00:05 ---   648   -35  8847
00-01-01 00:00:05 ---   745   -93  8785
00-01-01 00:00:05 ---   857  -138  8641
00-01-01 00:00:05 ---   930  -197  8498
00-01-01 00:00:05 ---   978  -240  8418
00-01-01 00:00:05 ---   991  -278  8355
00-01-01 00:00:05 ---   976  -315  8296
00-01-01 00:00:05 ---   944  -326  8200
00-01-01 00:00:05 ---   883  -346  8107
00-01-01 00:00:05 ---   801  -345  8042
00-01-01 00:00:05 ---   697  -344  8014
00-01-01 00:00:05 ---   568  -341  8027
00-01-01 00:00:05 ---   422  -339  8019
00-01-01 00:00:05 ---   252  -337  8066
00-01-01 00:00:06 ---    64  -352  8079
00-01-01 00:00:06 ---  -132  -362  8110
00-01-01 00:00:06 ---  -332  -378  8119
00-01-01 00:00:06 ---  -509  -390  8085
00-01-01 00:00:06 ---  -684  -397  8033
00-01-01 00:00:06 ---  -839  -400  7968
00-01-01 00:00:06 ---  -983  -406  7899
00-01-01 00:00:06 --- -1114  -414  7842
00-01-01 00:00:06 --- -1239  -441  7783
00-01-01 00:00:06 --- -1351  -466  7741
00-01-01 00:00:06 --- -1483  -501  7692
00-01-01 00:00:06 --- -1617  -523  7678
00-01-01 00:00:06 --- -1947  -634  7913
00-01-01 00:00:06 --- -2271  -562  9716
00-01-01 00:00:06 --- -2573  -676 10839
00-01-01 00:00:06 --- -2591  -645 11824
00-01-01 00:00:06 --- -2418  -688 11579
00-01-01 00:00:06 --- -1965  -777  9973
00-01-01 00:00:06 --- -1723  -836  8766
00-01-01 00:00:06 --- -1541  -913  8238
00-01-01 00:00:06 --- -1518 -1010  8008
00-01-01 00:00:06 --- -1542 -1072  8155
00-01-01 00:00:06 --- -1526 -1157  7958
00-01-01 00:00:06 --- -1490 -1193  7867
00-01-01 00:00:06 --- -1497 -1201  8043
00-01-01 00:00:06 --- -1487 -1193  8154
00-01-01 00:00:06 --- -1532 -1154  8357
00-01-01 00:00:06 --- -1557 -1097  8426
00-01-01 00:00:06 --- -1580 -1039  8385
00-01-01 00:00:06 --- -1587  -969  8435
00-01-01 00:00:06 --- -1562  -927  8504
00-01-01 00:00:06 --- -1494  -892  8555
00-01-01 00:00:06 --- -1400  -871  8634
00-01-01 00:00:06 --- -1267  -849  8612
00-01-01 00:00:06 --- -1120  -821  8638
00-01-01 00:00:06 ---  -968  -782  8659
00-01-01 00:00:06 ---  -821  -729  8676
00-01-01 00:00:06 ---  -681  -667  8694
00-01-01 00:00:06 ---  -570  -597  8710
00-01-01 00:00:06 ---  -464  -536  8707
00-01-01 00:00:06 ---  -403  -476  8744
00-01-01 00:00:06 ---  -373  -428  8773
00-01-01 00:00:06 ---  -394  -370  8826
00-01-01 00:00:06 ---  -464  -305  8881
00-01-01 00:00:06 ---  -567  -229  8940
00-01-01 00:00:06 ---  -701  -136  8989
00-01-01 00:00:06 ---  -828   -50  9036
00-01-01 00:00:06 ---  -936    23  9081
00-01-01 00:00:06 ---  -994    74  9143
00-01-01 00:00:06 ---  -988    92  9215
00-01-01 00:00:06 ---  -941    90  9300
00-01-01 00:00:06 ---  -867    80  9409
00-01-01 00:00:06 ---  -780    54  9503
00-01-01 00:00:06 ---  -705    38  9609
00-01-01 00:00:06 ---  -633    11  9686
00-01-01 00:00:07 --- one package
00-01-01 00:00:07 ---  -890 -2654  8273
00-01-01 00:00:07 ---  -933 -2613  8279
00-01-01 00:00:07 ---  -959 -2585  8264
00-01-01 00:00:07 ---  -983 -2559  8247
00-01-01 00:00:07 ---  -998 -2545  8238
00-01-01 00:00:07 --- -1002 -2531  8229
00-01-01 00:00:07 --- -1007 -2523  8239
00-01-01 00:00:07 ---  -999 -2519  8244
00-01-01 00:00:07 ---  -983 -2513  8243
00-01-01 00:00:07 ---  -954 -2510  8247
00-01-01 00:00:07 ---  -928 -2494  8237
00-01-01 00:00:07 ---  -892 -2473  8222
00-01-01 00:00:07 ---  -854 -2443  8200
00-01-01 00:00:07 ---  -821 -2421  8175
00-01-01 00:00:07 ---  -782 -2403  8154
00-01-01 00:00:07 ---  -754 -2399  8133
00-01-01 00:00:07 ---  -737 -2401  8117
00-01-01 00:00:07 ---  -724 -2413  8098
00-01-01 00:00:07 ---  -726 -2421  8083
00-01-01 00:00:07 ---  -722 -2433  8062
00-01-01 00:00:07 ---  -717 -2438  8036
00-01-01 00:00:07 ---  -701 -2437  8011
00-01-01 00:00:07 ---  -688 -2438  7981
00-01-01 00:00:07 ---  -663 -2439  7967
00-01-01 00:00:07 ---  -648 -2459  7953
00-01-01 00:00:07 ---  -624 -2491  7949
00-01-01 00:00:07 ---  -597 -2531  7937
00-01-01 00:00:07 ---  -580 -2565  7926
00-01-01 00:00:07 ---  -554 -2577  7918
00-01-01 00:00:07 ---  -538 -2564  7908
00-01-01 00:00:07 ---  -516 -2537  7905
00-01-01 00:00:07 ---  -493 -2494  7905
00-01-01 00:00:07 ---  -467 -2442  7904
00-01-01 00:00:07 ---  -438 -2390  7909
00-01-01 00:00:07 ---  -408 -2330  7909
00-01-01 00:00:07 ---  -375 -2281  7919
00-01-01 00:00:07 ---  -342 -2240  7933
00-01-01 00:00:07 ---  -310 -2221  7947
00-01-01 00:00:07 ---  -290 -2222  7978
00-01-01 00:00:07 ---  -275 -2232  8008
00-01-01 00:00:07 ---  -273 -2254  8027
00-01-01 00:00:07 ---  -265 -2279  8046
00-01-01 00:00:07 ---  -246 -2314  8054
00-01-01 00:00:07 ---  -222 -2359  8052
00-01-01 00:00:07 ---  -199 -2411  8060
00-01-01 00:00:07 ---  -185 -2461  8060
00-01-01 00:00:07 ---  -185 -2501  8062
00-01-01 00:00:07 ---  -189 -2524  8071
00-01-01 00:00:07 ---  -196 -2534  8071
00-01-01 00:00:07 ---  -207 -2534  8083
00-01-01 00:00:07 ---  -210 -2535  8084
00-01-01 00:00:07 ---  -221 -2546  8088
00-01-01 00:00:07 ---  -223 -2565  8087
00-01-01 00:00:07 ---  -222 -2587  8090
00-01-01 00:00:07 ---  -224 -2609  8093
00-01-01 00:00:07 ---  -227 -2622  8092
00-01-01 00:00:07 ---  -238 -2636  8105
00-01-01 00:00:07 ---  -246 -2642  8111
00-01-01 00:00:07 ---  -257 -2648  8126
00-01-01 00:00:07 ---  -270 -2652  8148
00-01-01 00:00:07 ---  -275 -2651  8161
00-01-01 00:00:07 ---  -289 -2650  8189
00-01-01 00:00:07 ---  -307 -2644  8214
00-01-01 00:00:07 ---  -328 -2637  8247
00-01-01 00:00:07 ---  -355 -2624  8269
