00-01-01 00:00:02 --- one package
00-01-01 00:00:05 --- -1539  1961  7073
00-01-01 00:00:05 --- -1519  2001  7056
00-01-01 00:00:05 --- -1491  2028  7021
00-01-01 00:00:05 --- -1456  2041  6977
00-01-01 00:00:05 --- -1418  2040  6917
00-01-01 00:00:05 --- -1375  2020  6856
00-01-01 00:00:05 --- -1329  1993  6785
00-01-01 00:00:05 --- -1281  1962  6721
00-01-01 00:00:05 --- -1238  1927  6655
00-01-01 00:00:05 --- -1194  1896  6604
00-01-01 00:00:05 --- -1160  1868  6558
00-01-01 00:00:05 --- -1123  1841  6534
00-01-01 00:00:05 --- -1088  1819  6499
00-01-01 00:00:05 --- -1043  1794  6475
00-01-01 00:00:05 --- -1011  1768  6451
00-01-01 00:00:05 ---  -972  1736  6430
00-01-01 00:00:05 ---  -945  1708  6433
00-01-01 00:00:05 ---  -915  1672  6438
00-01-01 00:00:05 ---  -894  1651  6449
00-01-01 00:00:05 ---  -869  1627  6459
00-01-01 00:00:05 ---  -842  1614  6468
00-01-01 00:00:05 ---  -809  1605  6477
00-01-01 00:00:05 ---  -746  1594  6500
00-01-01 00:00:05 ---  -652  1584  6536
00-01-01 00:00:05 ---  -528  1565  6594
00-01-01 00:00:05 ---  -399  1540  6667
00-01-01 00:00:05 ---  -282  1508  6743
00-01-01 00:00:05 ---  -213  1475  6816
00-01-01 00:00:05 ---  -187  1441  6867
00-01-01 00:00:05 ---  -207  1409  6901
00-01-01 00:00:05 ---  -254  1373  6920
00-01-01 00:00:05 ---  -333  1339  6917
00-01-01 00:00:05 ---  -411  1307  6908
00-01-01 00:00:05 ---  -505  1282  6884
00-01-01 00:00:05 ---  -592  1259  6865
00-01-01 00:00:05 ---  -672  1239  6837
00-01-01 00:00:05 ---  -756  1214  6816
00-01-01 00:00:05 ---  -835  1192  6782
00-01-01 00:00:05 ---  -910  1170  6751
00-01-01 00:00:05 ---  -983  1151  6731
00-01-01 00:00:05 --- -1041  1124  6724
00-01-01 00:00:05 --- -1101  1090  6738
00-01-01 00:00:05 --- -1155  1036  6766
00-01-01 00:00:05 --- -1213   972  6808
00-01-01 00:00:05 --- -1272   900  6854
00-01-01 00:00:05 --- -1322   834  6908
00-01-01 00:00:05 --- -1378   774  6957
00-01-01 00:00:05 --- -1421   729  6992
00-01-01 00:00:05 --- -1469   679  7025
00-01-01 00:00:05 --- -1510   637  7045
00-01-01 00:00:05 --- -1555   588  7053
00-01-01 00:00:05 --- -1602   532  7066
00-01-01 00:00:05 --- -1664   465  7089
00-01-01 00:00:05 --- -1738   388  7139
00-01-01 00:00:05 --- -1825   306  7227
00-01-01 00:00:05 --- -1900   233  7336
00-01-01 00:00:05 --- -1959   177  7438
00-01-01 00:00:05 --- -1975   139  7492
00-01-01 00:00:05 --- -1957   108  7476
00-01-01 00:00:05 --- -1898    84  7372
00-01-01 00:00:05 --- -1814    55  7195
00-01-01 00:00:05 --- -1707    22  6978
00-01-01 00:00:05 --- -1594   -13  6768
00-01-01 00:00:05 --- -1480   -53  6577
00-01-01 00:00:05 --- -1378   -93  6433
00-01-01 00:00:06 --- -1289  -130  6335
00-01-01 00:00:06 --- -1227  -173  6255
00-01-01 00:00:06 --- -1172  -209  6236
00-01-01 00:00:06 --- -1145  -243  6253
00-01-01 00:00:06 --- -1123  -270  6312
00-01-01 00:00:06 --- -1109  -289  6427
00-01-01 00:00:06 --- -1093  -314  6541
00-01-01 00:00:06 --- -1070  -344  6678
00-01-01 00:00:06 --- -1031  -378  6803
00-01-01 00:00:06 ---  -982  -418  6917
00-01-01 00:00:06 ---  -918  -454  7017
00-01-01 00:00:06 ---  -844  -499  7361
00-01-01 00:00:06 ---  -759  -546  7174
00-01-01 00:00:06 ---  -671  -602  7249
00-01-01 00:00:06 ---  -573  -661  7356
00-01-01 00:00:06 ---  -475  -725  7394
00-01-01 00:00:06 ---  -381  -789  7400
00-01-01 00:00:06 ---  -291  -852  7396
00-01-01 00:00:06 ---  -216  -909  7386
00-01-01 00:00:06 ---  -155  -953  7345
00-01-01 00:00:06 ---  -109 -1034  7309
00-01-01 00:00:06 ---   -72 -1063  7261
00-01-01 00:00:06 ---   -32 -1074  7218
00-01-01 00:00:06 ---     0 -1062  7201
00-01-01 00:00:06 ---    28 -1032  7213
00-01-01 00:00:06 ---    46  -989  7270
00-01-01 00:00:06 ---    24  -954  7380
00-01-01 00:00:06 ---     3  -918  7550
00-01-01 00:00:06 ---   -18  -902  7737
00-01-01 00:00:06 ---   -30  -892  7968
00-01-01 00:00:06 ---   -44  -898  8187
00-01-01 00:00:06 ---   -54  -912  8427
00-01-01 00:00:06 ---   -69  -930  8663
00-01-01 00:00:06 ---   -77  -954  8878
00-01-01 00:00:06 ---   -72  -974  9034
00-01-01 00:00:06 ---   -52 -1002  9112
00-01-01 00:00:06 ---   -17 -1023  9096
00-01-01 00:00:06 ---    24 -1042  9022
00-01-01 00:00:06 ---    61 -1052  8905
00-01-01 00:00:06 ---    91 -1056  8781
00-01-01 00:00:06 ---   118 -1048  8635
00-01-01 00:00:06 ---   134 -1032  8536
00-01-01 00:00:06 ---   152 -1005  8423
00-01-01 00:00:06 ---   158  -981  8360
00-01-01 00:00:06 ---   164  -943  8316
00-01-01 00:00:06 ---   162  -910  8285
00-01-01 00:00:06 ---   165  -878  8285
00-01-01 00:00:06 ---   168  -834  8308
00-01-01 00:00:06 ---   171  -799  8345
